FED Date,USD/EUR,3M USD LIBOR,EBR Date,3M EUR LIBOR
2000-01-05,1.0335,6.03000,,
2000-01-06,1.0324,6.03000,,
2000-01-07,1.0294,6.03000,,
2000-01-10,1.0252,6.02625,,
2000-01-11,1.0322,6.03000,,
2000-01-12,1.0281,6.03938,,
2000-01-13,1.0270,6.04000,,
2000-01-14,1.0128,6.04000,,
2000-01-17,#N/A,6.03625,,
2000-01-18,1.0121,6.03500,,
2000-01-19,1.0115,6.03750,,
2000-01-20,1.0133,6.04000,,
2000-01-21,1.0100,6.04000,,
2000-01-24,1.0019,6.04000,,
2000-01-25,1.0041,6.04000,,
2000-01-26,1.0011,6.04000,,
2000-01-27,0.9890,6.04000,,
2000-01-28,0.9765,6.04875,,
2000-01-31,0.9757,6.07750,,
2000-02-01,0.9731,6.09125,,
2000-02-02,0.9768,6.10000,,
2000-02-03,0.9887,6.09750,,
2000-02-04,0.9760,6.09000,,
2000-02-07,0.9783,6.10000,,
2000-02-08,0.9862,6.10000,,
2000-02-09,0.9914,6.10000,,
2000-02-10,0.9865,6.09875,,
2000-02-11,0.9847,6.09625,,
2000-02-14,0.9783,6.09000,,
2000-02-15,0.9834,6.09000,,
2000-02-16,0.9842,6.09000,,
2000-02-17,0.9863,6.09000,,
2000-02-18,0.9850,6.11000,,
2000-02-21,#N/A,6.11000,,
2000-02-22,1.0060,6.11000,,
2000-02-23,1.0017,6.11000,,
2000-02-24,0.9931,6.11000,,
2000-02-25,0.9763,6.10125,,
2000-02-28,0.9669,6.10125,,
2000-02-29,0.9643,6.10875,,
2000-03-01,0.9700,6.11000,,
2000-03-02,0.9619,6.11875,,
2000-03-03,0.9618,6.12000,,
2000-03-06,0.9603,6.12000,,
2000-03-07,0.9560,6.12688,,
2000-03-08,0.9576,6.13000,,
2000-03-09,0.9684,6.14000,,
2000-03-10,0.9659,6.14375,,
2000-03-13,0.9648,6.15000,,
2000-03-14,0.9644,6.16000,,
2000-03-15,0.9696,6.17250,,
2000-03-16,0.9710,6.19125,,
2000-03-17,0.9694,6.21000,,
2000-03-20,0.9710,6.22875,,
2000-03-21,0.9703,6.24125,,
2000-03-22,0.9608,6.24625,,
2000-03-23,0.9691,6.24750,,
2000-03-24,0.9724,6.25500,,
2000-03-27,0.9645,6.28000,,
2000-03-28,0.9614,6.28000,,
2000-03-29,0.9524,6.28000,,
2000-03-30,0.9594,6.29000,,
2000-03-31,0.9574,6.29000,,
2000-04-03,0.9560,6.29000,,
2000-04-04,0.9588,6.29000,,
2000-04-05,0.9647,6.27125,,
2000-04-06,0.9580,6.27125,,
2000-04-07,0.9590,6.28000,,
2000-04-10,0.9588,6.28000,,
2000-04-11,0.9591,6.28000,,
2000-04-12,0.9551,6.28375,,
2000-04-13,0.9524,6.28125,,
2000-04-14,0.9564,6.28125,,
2000-04-17,0.9550,6.28250,,
2000-04-18,0.9477,6.29250,,
2000-04-19,0.9369,6.31000,,
2000-04-20,0.9376,6.31813,,
2000-04-21,0.9379,#N/A,,
2000-04-24,0.9396,#N/A,,
2000-04-25,0.9265,6.33375,,
2000-04-26,0.9217,6.37500,,
2000-04-27,0.9083,6.39125,,
2000-04-28,0.9089,6.50250,,
2000-05-01,0.9120,#N/A,,
2000-05-02,0.9068,6.56875,,
2000-05-03,0.8891,6.60000,,
2000-05-04,0.8907,6.65250,,
2000-05-05,0.8953,6.67000,,
2000-05-08,0.8950,6.70000,,
2000-05-09,0.9023,6.71875,,
2000-05-10,0.9097,6.72000,,
2000-05-11,0.9021,6.72000,,
2000-05-12,0.9080,6.73375,,
2000-05-15,0.9138,6.76000,,
2000-05-16,0.9053,6.76125,,
2000-05-17,0.8921,6.80875,,
2000-05-18,0.8952,6.81875,,
2000-05-19,0.8946,6.82000,,
2000-05-22,0.9036,6.82000,,
2000-05-23,0.9032,6.82000,,
2000-05-24,0.9096,6.82000,,
2000-05-25,0.9072,6.82750,,
2000-05-26,0.9310,6.82625,,
2000-05-29,#N/A,#N/A,,
2000-05-30,0.9314,6.84000,,
2000-05-31,0.9328,6.86250,,
2000-06-01,0.9307,6.86875,,
2000-06-02,0.9432,6.85125,,
2000-06-05,0.9471,6.79250,,
2000-06-06,0.9570,6.79000,,
2000-06-07,0.9600,6.79750,,
2000-06-08,0.9548,6.80000,,
2000-06-09,0.9526,6.81000,,
2000-06-12,0.9544,6.81000,,
2000-06-13,0.9619,6.81000,,
2000-06-14,0.9590,6.79250,,
2000-06-15,0.9530,6.77750,,
2000-06-16,0.9648,6.77500,,
2000-06-19,0.9622,6.76188,,
2000-06-20,0.9557,6.76125,,
2000-06-21,0.9455,6.76500,,
2000-06-22,0.9398,6.77250,,
2000-06-23,0.9358,6.77000,,
2000-06-26,0.9382,6.77438,,
2000-06-27,0.9444,6.77500,,
2000-06-28,0.9444,6.78000,,
2000-06-29,0.9515,6.77875,,
2000-06-30,0.9545,6.76938,,
2000-07-03,0.9526,6.77000,,
2000-07-04,#N/A,6.75000,,
2000-07-05,0.9548,6.74500,,
2000-07-06,0.9527,6.74000,,
2000-07-07,0.9484,6.74375,,
2000-07-10,0.9521,6.73000,,
2000-07-11,0.9497,6.73125,,
2000-07-12,0.9401,6.73125,,
2000-07-13,0.9339,6.73375,,
2000-07-14,0.9374,6.73000,,
2000-07-17,0.9351,6.74000,,
2000-07-18,0.9322,6.74000,,
2000-07-19,0.9237,6.74000,,
2000-07-20,0.9292,6.74000,,
2000-07-21,0.9343,6.71750,,
2000-07-24,0.9314,6.71375,,
2000-07-25,0.9391,6.71500,,
2000-07-26,0.9413,6.71250,,
2000-07-27,0.9331,6.71250,,
2000-07-28,0.9246,6.71125,,
2000-07-31,0.9266,6.72188,,
2000-08-01,0.9228,6.72000,,
2000-08-02,0.9137,6.72000,,
2000-08-03,0.9042,6.71375,,
2000-08-04,0.9075,6.71000,,
2000-08-07,0.9105,6.69125,,
2000-08-08,0.9019,6.69000,,
2000-08-09,0.8991,6.68813,,
2000-08-10,0.9077,6.68125,,
2000-08-11,0.9046,6.68000,,
2000-08-14,0.9037,6.68750,,
2000-08-15,0.9135,6.69000,,
2000-08-16,0.9143,6.69000,,
2000-08-17,0.9152,6.69000,,
2000-08-18,0.9068,6.69000,,
2000-08-21,0.9027,6.69000,,
2000-08-22,0.8965,6.69000,,
2000-08-23,0.8967,6.69000,,
2000-08-24,0.9028,6.68000,,
2000-08-25,0.9024,6.68000,,
2000-08-28,0.9002,#N/A,,
2000-08-29,0.8966,6.68000,,
2000-08-30,0.8924,6.68000,,
2000-08-31,0.8878,6.68000,,
2000-09-01,0.8993,6.67250,,
2000-09-04,#N/A,6.65375,,
2000-09-05,0.8876,6.65313,,
2000-09-06,0.8702,6.65438,,
2000-09-07,0.8740,6.66000,,
2000-09-08,0.8664,6.66000,,
2000-09-11,0.8624,6.66000,,
2000-09-12,0.8596,6.66000,,
2000-09-13,0.8640,6.66000,,
2000-09-14,0.8617,6.66000,,
2000-09-15,0.8572,6.66000,,
2000-09-18,0.8523,6.66000,,
2000-09-19,0.8514,6.65875,,
2000-09-20,0.8462,6.66000,,
2000-09-21,0.8558,6.66000,,
2000-09-22,0.8793,6.66000,,
2000-09-25,0.8738,6.66000,,
2000-09-26,0.8815,6.66000,,
2000-09-27,0.8805,6.66000,,
2000-09-28,0.8826,6.81500,,
2000-09-29,0.8837,6.81125,,
2000-10-02,0.8806,6.80438,,
2000-10-03,0.8741,6.80250,,
2000-10-04,0.8726,6.80250,,
2000-10-05,0.8685,6.80250,,
2000-10-06,0.8680,6.80250,,
2000-10-09,#N/A,6.80000,,
2000-10-10,0.8682,6.80188,,
2000-10-11,0.8715,6.79875,,
2000-10-12,0.8644,6.79813,,
2000-10-13,0.8568,6.77063,,
2000-10-16,0.8489,6.77375,,
2000-10-17,0.8507,6.77000,,
2000-10-18,0.8391,6.76000,,
2000-10-19,0.8406,6.76000,,
2000-10-20,0.8400,6.76125,,
2000-10-23,0.8364,6.76000,,
2000-10-24,0.8364,6.76000,,
2000-10-25,0.8270,6.76000,,
2000-10-26,0.8271,6.75875,,
2000-10-27,0.8406,6.75750,,
2000-10-30,0.8432,6.75875,,
2000-10-31,0.8486,6.76000,,
2000-11-01,0.8584,6.75875,,
2000-11-02,0.8594,6.75125,,
2000-11-03,0.8614,6.75063,,
2000-11-06,0.8584,6.75375,,
2000-11-07,0.8583,6.75813,,
2000-11-08,0.8559,6.75938,,
2000-11-09,0.8574,6.76000,,
2000-11-10,0.8625,6.76000,,
2000-11-13,0.8607,6.75938,,
2000-11-14,0.8573,6.75813,,
2000-11-15,0.8570,6.75750,,
2000-11-16,0.8532,6.75875,,
2000-11-17,0.8516,6.75063,,
2000-11-20,0.8486,6.75313,,
2000-11-21,0.8458,6.75063,,
2000-11-22,0.8423,6.75063,,
2000-11-23,#N/A,6.75000,,
2000-11-24,0.8382,6.74875,,
2000-11-27,0.8500,6.74875,,
2000-11-28,0.8547,6.74875,,
2000-11-29,0.8577,6.73625,,
2000-11-30,0.8694,6.71500,,
2000-12-01,0.8765,6.68625,,
2000-12-04,0.8875,6.68375,,
2000-12-05,0.8804,6.67750,,
2000-12-06,0.8877,6.61750,,
2000-12-07,0.8891,6.57750,,
2000-12-08,0.8838,6.57000,,
2000-12-11,0.8771,6.58000,,
2000-12-12,0.8775,6.58000,,
2000-12-13,0.8755,6.58000,,
2000-12-14,0.8858,6.54750,,
2000-12-15,0.8981,6.54938,,
2000-12-18,0.8929,6.53625,,
2000-12-19,0.8902,6.52000,,
2000-12-20,0.9058,6.50000,,
2000-12-21,0.9112,6.46375,,
2000-12-22,0.9230,6.45000,,
2000-12-25,#N/A,#N/A,,
2000-12-26,0.9292,#N/A,,
2000-12-27,0.9304,6.43813,,
2000-12-28,0.9257,6.40125,,
2000-12-29,0.9388,6.39875,,
2001-01-01,#N/A,#N/A,,
2001-01-02,0.9465,6.37125,,
2001-01-03,0.9473,6.28625,,
2001-01-04,0.9448,5.86625,,
2001-01-05,0.9535,5.69500,,
2001-01-08,0.9486,5.61625,,
2001-01-09,0.9397,5.62375,,
2001-01-10,0.9387,5.65000,,
2001-01-11,0.9520,5.67625,,
2001-01-12,0.9486,5.67875,,
2001-01-15,#N/A,5.74125,,
2001-01-16,0.9374,5.73875,,
2001-01-17,0.9306,5.73875,,
2001-01-18,0.9446,5.64875,,
2001-01-19,0.9363,5.61125,,
2001-01-22,0.9374,5.58125,,
2001-01-23,0.9389,5.57250,,
2001-01-24,0.9258,5.61000,,
2001-01-25,0.9219,5.59750,,
2001-01-26,0.9213,5.56750,,
2001-01-29,0.9181,5.54250,,
2001-01-30,0.9264,5.52500,,
2001-01-31,0.9308,5.42125,,
2001-02-01,0.9384,5.39000,,
2001-02-02,0.9357,5.39750,,
2001-02-05,0.9395,5.41000,,
2001-02-06,0.9304,5.41000,,
2001-02-07,0.9331,5.41000,,
2001-02-08,0.9184,5.40875,,
2001-02-09,0.9267,5.41000,,
2001-02-12,0.9287,5.38750,,
2001-02-13,0.9204,5.38875,,
2001-02-14,0.9197,5.40000,,
2001-02-15,0.9057,5.41250,,
2001-02-16,0.9162,5.41000,,
2001-02-19,#N/A,5.38313,,
2001-02-20,0.9096,5.38000,,
2001-02-21,0.9077,5.37000,,
2001-02-22,0.9069,5.34500,,
2001-02-23,0.9095,5.30000,,
2001-02-26,0.9093,5.19375,,
2001-02-27,0.9128,5.10375,,
2001-02-28,0.9212,5.05250,,
2001-03-01,0.9291,5.08875,,
2001-03-02,0.9340,5.08250,,
2001-03-05,0.9289,5.08000,,
2001-03-06,0.9313,5.09000,,
2001-03-07,0.9274,5.07375,,
2001-03-08,0.9281,5.06000,,
2001-03-09,0.9315,5.04000,,
2001-03-12,0.9300,5.05750,,
2001-03-13,0.9148,5.03375,,
2001-03-14,0.9133,5.02000,,
2001-03-15,0.9046,4.94250,,
2001-03-16,0.8929,4.90000,,
2001-03-19,0.8985,4.88000,,
2001-03-20,0.9054,4.88625,,
2001-03-21,0.8970,4.87000,,
2001-03-22,0.8881,4.85625,,
2001-03-23,0.8926,4.86000,,
2001-03-26,0.8955,4.86875,,
2001-03-27,0.8910,4.86000,,
2001-03-28,0.8882,4.90250,,
2001-03-29,0.8807,4.87625,,
2001-03-30,0.8794,4.87875,,
2001-04-02,0.8824,4.84000,,
2001-04-03,0.8930,4.84625,,
2001-04-04,0.9013,4.81000,,
2001-04-05,0.8976,4.80375,,
2001-04-06,0.9002,4.80625,,
2001-04-09,0.9014,4.74125,,
2001-04-10,0.8884,4.74000,,
2001-04-11,0.8856,4.76000,,
2001-04-12,0.8922,4.77875,,
2001-04-13,0.8888,#N/A,,
2001-04-16,0.8862,#N/A,,
2001-04-17,0.8814,4.80875,,
2001-04-18,0.8816,4.82750,,
2001-04-19,0.8909,4.41000,,
2001-04-20,0.9032,4.41750,,
2001-04-23,0.8960,4.38375,,
2001-04-24,0.8946,4.36000,,
2001-04-25,0.8972,4.34000,,
2001-04-26,0.9011,4.34000,,
2001-04-27,0.8924,4.31375,,
2001-04-30,0.8874,4.33625,,
2001-05-01,0.8937,4.34000,,
2001-05-02,0.8925,4.30750,,
2001-05-03,0.8891,4.29875,,
2001-05-04,0.8934,4.27000,,
2001-05-07,0.8916,#N/A,,
2001-05-08,0.8848,4.09875,,
2001-05-09,0.8845,4.08500,,
2001-05-10,0.8792,4.06000,,
2001-05-11,0.8759,4.07000,,
2001-05-14,0.8748,4.12125,,
2001-05-15,0.8788,4.10313,,
2001-05-16,0.8842,4.03000,,
2001-05-17,0.8828,4.04000,,
2001-05-18,0.8774,4.05500,,
2001-05-21,0.8762,4.07625,,
2001-05-22,0.8657,4.07500,,
2001-05-23,0.8598,4.07000,,
2001-05-24,0.8570,4.05625,,
2001-05-25,0.8577,4.03000,,
2001-05-28,#N/A,#N/A,,
2001-05-29,0.8547,4.00000,,
2001-05-30,0.8576,4.00000,,
2001-05-31,0.8455,3.99000,,
2001-06-01,0.8452,3.94250,,
2001-06-04,0.8449,3.94000,,
2001-06-05,0.8504,3.94000,,
2001-06-06,0.8452,3.92750,,
2001-06-07,0.8506,3.91813,,
2001-06-08,0.8505,3.91563,,
2001-06-11,0.8425,3.91000,,
2001-06-12,0.8479,3.89875,,
2001-06-13,0.8536,3.89000,,
2001-06-14,0.8598,3.87750,,
2001-06-15,0.8628,3.85125,,
2001-06-18,0.8610,3.78688,,
2001-06-19,0.8558,3.75750,,
2001-06-20,0.8506,3.75000,,
2001-06-21,0.8544,3.73875,,
2001-06-22,0.8570,3.73000,,
2001-06-25,0.8611,3.70500,,
2001-06-26,0.8623,3.70000,,
2001-06-27,0.8621,3.71000,,
2001-06-28,0.8470,3.79000,,
2001-06-29,0.8474,3.83625,,
2001-07-02,0.8455,3.83000,,
2001-07-03,0.8477,3.82000,,
2001-07-04,#N/A,3.82750,,
2001-07-05,0.8370,3.82000,,
2001-07-06,0.8465,3.81000,,
2001-07-09,0.8474,3.79000,,
2001-07-10,0.8557,3.79000,,
2001-07-11,0.8614,3.76000,,
2001-07-12,0.8530,3.77000,,
2001-07-13,0.8527,3.75875,,
2001-07-16,0.8549,3.76000,,
2001-07-17,0.8549,3.76000,,
2001-07-18,0.8701,3.76000,,
2001-07-19,0.8690,3.71000,,
2001-07-20,0.8713,3.70875,,
2001-07-23,0.8676,3.70000,,
2001-07-24,0.8752,3.70000,,
2001-07-25,0.8797,3.70000,,
2001-07-26,0.8765,3.70500,,
2001-07-27,0.8749,3.69625,,
2001-07-30,0.8750,3.67875,,
2001-07-31,0.8752,3.67000,,
2001-08-01,0.8793,3.65625,,
2001-08-02,0.8813,3.65000,,
2001-08-03,0.8843,3.65625,,
2001-08-06,0.8802,3.65000,,
2001-08-07,0.8775,3.64375,,
2001-08-08,0.8778,3.63750,,
2001-08-09,0.8886,3.59500,,
2001-08-10,0.8940,3.58875,,
2001-08-13,0.8983,3.57000,,
2001-08-14,0.9025,3.56000,,
2001-08-15,0.9114,3.56000,,
2001-08-16,0.9138,3.56125,,
2001-08-17,0.9165,3.54750,,
2001-08-20,0.9127,3.52875,,
2001-08-21,0.9115,3.52750,,
2001-08-22,0.9194,3.51250,,
2001-08-23,0.9166,3.51250,,
2001-08-24,0.9116,3.51750,,
2001-08-27,0.9098,#N/A,,
2001-08-28,0.9102,3.52500,,
2001-08-29,0.9097,3.50000,,
2001-08-30,0.9154,3.49000,,
2001-08-31,0.9090,3.46250,,
2001-09-03,#N/A,3.46563,,
2001-09-04,0.8868,3.46625,,
2001-09-05,0.8897,3.52000,,
2001-09-06,0.8943,3.52000,,
2001-09-07,0.9044,3.48625,,
2001-09-10,0.8988,3.36000,,
2001-09-11,#N/A,3.36000,,
2001-09-12,0.9069,3.15625,,
2001-09-13,0.9089,3.15000,,
2001-09-14,0.9199,3.15000,,
2001-09-17,0.9198,3.11000,,
2001-09-18,0.9233,2.96500,,
2001-09-19,0.9310,2.78313,,
2001-09-20,0.9255,2.60250,,
2001-09-21,0.9099,2.61500,,
2001-09-24,0.9135,2.60000,,
2001-09-25,0.9222,2.60000,,
2001-09-26,0.9231,2.59125,,
2001-09-27,0.9181,2.60000,,
2001-09-28,0.9099,2.59000,,
2001-10-01,0.9159,2.60000,,
2001-10-02,0.9149,2.59250,,
2001-10-03,0.9181,2.50000,,
2001-10-04,0.9141,2.50000,,
2001-10-05,0.9168,2.48125,,
2001-10-08,#N/A,2.44000,,
2001-10-09,0.9150,2.43125,,
2001-10-10,0.9118,2.43000,,
2001-10-11,0.9008,2.43000,,
2001-10-12,0.9078,2.45625,,
2001-10-15,0.9077,2.43125,,
2001-10-16,0.9094,2.42000,,
2001-10-17,0.9065,2.41000,,
2001-10-18,0.9025,2.39000,,
2001-10-19,0.8987,2.36625,,
2001-10-22,0.8906,2.35250,,
2001-10-23,0.8893,2.35000,,
